Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,profit,ROMS,ROMS %
1,Peoria,Arizona,Region 2,Old,2601,48610,46009,1768.9,18
2,Midland,Texas,Region 2,Old,2727,45689,42962,1575.43,16
3,Spokane,Washington,Region 2,Old,2768,49554,46786,1690.25,17
4,Denton,Texas,Region 2,Old,2759,38284,35525,1287.6,13
5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,1987.38,20
6,Yonkers,New York,Region 1,Old,3080,53827,50747,1647.63,16
7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,1840.13,18
8,Antioch,California,Region 2,Old,2593,19569,16976,654.69,7
9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,2137.01,21
10,Rochester,New York,Region 1,Old,2984,64906,61922,2075.13,21
11,Rialto,California,Region 2,Old,2541,16860,14319,563.52,6
12,Santa Maria,California,Region 2,Old,2651,21988,19337,729.42,7
13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,586.98,6
14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,1478.22,15
15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,587.68,6
16,Temecula,California,Region 2,Old,2795,16690,13895,497.14,5
17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,1643.84,16
18,Fontana,California,Region 2,Old,3085,63027,59942,1943.01,19
19,Kent,Washington,Region 2,Old,2894,43183,40289,1392.16,14
20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,591.5,6
21,Concord,California,Region 2,Old,2521,38178,35657,1414.4,14
22,Modesto,California,Region 2,Old,3077,56836,53759,1747.12,17
23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,1485.46,15
24,Burbank,California,Region 2,Old,3679,20123,16444,446.97,4
25,Elk Grove,California,Region 2,Old,2918,49856,46938,1608.57,16
26,Port St. Lucie,Florida,Region 1,Old,2420,55790,53370,2205.37,22
27,Elizabeth,New Jersey,Region 1,Old,2557,45017,42460,1660.54,17
28,Salt Lake City,Utah,Region 2,Old,3620,56921,53301,1472.4,15
29,Waco,Texas,Region 2,Old,2483,39744,37261,1500.64,15
30,Edison,New Jersey,Region 1,Old,3131,22972,19841,633.7,6
31,Boulder,Colorado,Region 2,Old,3083,22680,19597,635.65,6
32,Grand Rapids,Michigan,Region 1,Old,2808,65475,62667,2231.73,22
33,Tyler,Texas,Region 2,Old,2984,21718,18734,627.82,6
34,Charleston,South Carolina,Region 1,Old,2484,34829,32345,1302.13,13
35,Huntsville,Alabama,Region 1,Old,3335,59283,55948,1677.6,17
36,Pearland,Texas,Region 2,Old,3127,20057,16930,541.41,5
37,Inglewood,California,Region 2,Old,2904,20455,17551,604.37,6
38,Oxnard,California,Region 2,Old,2318,64302,61984,2674.03,27
39,Miramar,Florida,Region 1,Old,3488,49506,46018,1319.32,13
40,Cape Coral,Florida,Region 1,Old,2886,52250,49364,1710.46,17
41,Syracuse,New York,Region 1,Old,2373,41313,38940,1640.96,16
42,Newport News,Virginia,Region 1,Old,2758,57625,54867,1989.38,20
43,Lewisville,Texas,Region 2,Old,2607,16029,13422,514.84,5
44,Carrollton,Texas,Region 2,Old,3146,49191,46045,1463.6,15
45,San Bernardino,California,Region 2,Old,3399,59870,56471,1661.4,17
46,Pasadena,California,Region 2,Old,2790,48254,45464,1629.53,16
47,Roseville,California,Region 2,Old,3220,43397,40177,1247.73,12
48,Murrieta,California,Region 2,Old,2344,16372,14028,598.46,6
49,San Angelo,Texas,Region 2,Old,2939,50233,47294,1609.19,16
50,Olathe,Kansas,Region 2,Old,3082,41460,38378,1245.23,12
51,Akron,Ohio,Region 1,Old,2338,50364,48026,2054.15,21
52,Fullerton,California,Region 2,Old,3246,44223,40977,1262.38,13
53,Manchester,New Hampshire,Region 1,Old,2374,17006,14632,616.34,6
54,Everett,Washington,Region 2,Old,3129,15562,12433,397.35,4
55,West Covina,California,Region 2,Old,2939,21824,18885,642.57,6
56,Thornton,Colorado,Region 2,Old,2642,46490,43848,1659.65,17
57,Hampton,Virginia,Region 1,Old,2871,38782,35911,1250.82,13
58,Waterbury,Connecticut,Region 1,Old,3392,19350,15958,470.46,5
59,Ventura,California,Region 2,Old,3228,16652,13424,415.86,4
60,Davenport,Iowa,Region 1,Old,3175,23764,20589,648.47,6
61,Columbia,South Carolina,Region 1,Old,2874,42803,39929,1389.32,14
62,Simi Valley,California,Region 2,Old,2792,41110,38318,1372.42,14
63,Richmond,California,Region 2,Old,3924,19448,15524,395.62,4
64,Little Rock,Arkansas,Region 2,Old,2440,68828,66388,2720.82,27
65,El Cajon,California,Region 2,Old,2950,19529,16579,562,6
66,Santa Clara,California,Region 2,Old,2462,29008,26546,1078.23,11
67,Oceanside,California,Region 2,Old,3084,55684,52600,1705.58,17
68,Davie,Florida,Region 1,Old,3177,45418,42241,1329.59,13
69,Lakeland,Florida,Region 1,Old,3003,18297,15294,509.29,5
70,Centennial,Colorado,Region 2,Old,3697,18966,15269,413.01,4
71,Lowell,Massachusetts,Region 1,Old,2857,18838,15981,559.36,6
72,Ontario,California,Region 2,Old,3168,52078,48910,1543.88,15
73,Palm Bay,Florida,Region 1,Old,2943,25321,22378,760.38,8
74,Murfreesboro,Tennessee,Region 2,Old,2777,40545,37768,1360.03,14
75,Vancouver,Washington,Region 2,Old,3329,58951,55622,1670.83,17
76,Topeka,Kansas,Region 2,Old,2854,40921,38067,1333.81,13
77,West Valley City,Utah,Region 2,Old,2555,49609,47054,1841.64,18
78,New Haven,Connecticut,Region 1,Old,3162,45550,42388,1340.54,13
79,Pueblo,Colorado,Region 2,Old,2928,19563,16635,568.14,6
80,Costa Mesa,California,Region 2,Old,2275,41361,39086,1718.07,17
81,Garden Grove,California,Region 2,Old,3285,57530,54245,1651.29,17
82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,51551,1602.46,16
83,North Charleston,South Carolina,Region 1,Old,3115,18754,15639,502.05,5
84,Cambridge,Massachusetts,Region 1,Old,2779,21286,18507,665.96,7
85,Greeley,Colorado,Region 2,Old,3277,48796,45519,1389.04,14
86,Gresham,Oregon,Region 2,Old,2745,19708,16963,617.96,6
87,Amarillo,Texas,Region 2,Old,3984,56089,52105,1307.86,13
88,High Point,North Carolina,Region 1,Old,3262,19752,16490,505.52,5
89,Vista,California,Region 2,Old,2718,20949,18231,670.75,7
90,Tacoma,Washington,Region 2,Old,2552,45666,43114,1689.42,17
91,Mesquite,Texas,Region 2,Old,3072,40779,37707,1227.44,12
92,Augusta,Georgia,Region 1,Old,2676,47482,44806,1674.36,17
93,Elgin,Illinois,Region 1,Old,2553,18215,15662,613.47,6
94,Aurora,Illinois,Region 1,Old,2685,50650,47965,1786.41,18
95,Gainesville,Florida,Region 1,Old,2990,48933,45943,1536.56,15
96,Dayton,Ohio,Region 1,Old,2805,42026,39221,1398.25,14
97,Wichita Falls,Texas,Region 2,Old,2846,15735,12889,452.88,5
98,Naperville,Illinois,Region 1,Old,2699,39856,37157,1376.7,14
99,Clovis,California,Region 2,Old,2901,20669,17768,612.48,6
